id,text,label
0,"Sam has an everlast treat each nite before bed, like a good tooth brushing. The only downside is finding a place that keeps them in stock as well as multiple flavors.",dogs
1,"The product is as it says. I keep an eye on it to make sure it doesnt go off without reason though, it would be quite uncomfortable for the pups, but it is sometimes needed in neighborhoods.",dogs
2,My Kitty thinks these are treats! He loves them. He seams to have more energy and doesn't get sick as often. The only downside is it makes his output really really stinky.,dogs
3,"This is the third or fourth time that we've ordered the big 20lb box of these because:- we have 2 old Australian Shepherds (15 and 16 at this point) who have been active their entire lives and keeping their joints in good shape is central to their happiness, they are not the kind of dogs content to stay inside and immobile all day- they're picky (especially the younger of the two, Abby) and we have not been able to find any other joint treats or tablets that she would not either spit out or refuse to even put in her mouth- they LOVE these treats, we joke that they're like 'crack' to Abby because she gets all jazzed and wide-eyed when she sees us going for them, and she's not the begging type!- they have a good crunch but aren't too hard for our aging dogs teeth or jaws to handle comfortably-- they're also not too hard to break up into several smaller pieces for when we go on walks",dogs
4,Put this on both my dogs. And they are scratching 2 weeks later. And still have fleas. Do not buy this product.,dogs
5,My cats do not like this toy. I've had it for a few weeks and never see them playing with it. I would not recommend it.,cats
6,"This works really well. Just be careful to not stay in one place for too long as it will hurt your pet. It is made solidly and works much better than similar products out there. Highly recommended, I use it every night.",cats
7,"This was just the right height for my 55lb.dalmation. It's easy to put together, just attach the legs. The stainless steel bowls are a great size and easy to keep clean.",dogs
8,Works great with less toxic chemicals used as compared with Frontline. We have 3 dogs and no problems.,dogs
9,"I'm not happy with the way it was shipped. It was shipped the least expensive way by the company. It went to the address I requested. Since I don't live there, my ex husband told the letter carrier where I resided. It went back to a post office close to me. Then I had to pay more to pick it up. Any way I can keep this from happening again?",cats
10,"I actually purchased my kennel from a different seller. I got a great deal as local costs for kennels were $280+.After receiving it, I pulled the directions out and followed them step by step. The directions were easy to follow. I was able to get the frame together in about 10-15 minutes.The chain link come folded so you have to open it up length wise, straighten the links, and then roll it back up to place on the frame. There were kinks in it and some of the fence was narled pretty badly. I just did my best to straighten them out. After about 45 minutes to an hour later, I finally had it installed on the frame.I put my dog in it. She appeared to be annoyed that she was in it. Later that evening I came outside to put some items in the shed. My dog walked by me. I thought it was a bit odd so I escorted her back to the kennel. The kennel was moved at an angle. I thought she had dug under it. After closer inspection, I found the bottom half of the fence gnarled up. The fence has very little dried blood on it. I checked my dog for injuries but did not see anything.I went back to the directions and made sure I had set the wire ties at the appropriate spacing for the fence to be attached to the frame, which was correct. I had to pickup some wire ties at the local hardware store. $4.00 per 30 ties. I bent the fence back into place and re-tied the fence adding a few more ties to each side then put my dog back in the kennel. After another hour or so I came back to check on her. She got out again on the opposite side. After about three days of going back and fouth addind more and more ties and straighten the fence out. I finally managed to get her to stay in the kennel. I had to add a tie at every ending link and I ended up having to add a hanger in the middle of the links on the area she continued to come out at.It's a good deal, but you have to do a little extra to make it last. I did end up getting the cover, and it fits rather funny and doesn't sit all that well.",dogs
11,"I have been feeding this food to my two ferrets sinse I got them. Also this is what the pet store was feeding them, not to mention marshall Ferrets is the breeder of my two ferrets. I completely love this food and trust it. My ferrets love this food as well and once I ran out and tried to feed them something else for a day and they refused to eat something else",small animals
12,"This smells worse than the previous salmon oil I bought and the bottle was oily on the outside (even after being washed off). Somehow, it leaks after pumping. I know it's good for my dogs, so we finally finished it, but I will look for the stuff I had last time (gold metal bottle- can't remember name).",dogs
13,"Works great to brush my short haired kitten, and the quality of the brush doesn't disappoint. Everything you'd expect from a pet grooming brush.",cats
14,my wife has tried a dozen different type of poop bags and these are the best. They are the thickest plastic and easiest to open. and the price is hard to beat for so many rolls,dogs
15,"Dogs love these treats and they come in a large box so I just take out what I need and store it in a plastic container in the kitchen. Very economical, compared to the treats you buy in the supermarket, and they are good and healthy for the dogs, too. Would definitely recommend them.",dogs
16,"Before I got this I was going through two plastic bags a day cleaning after my cat, this from someone who always brings her own canvas bag to the grocery to avoid waste! Plus my trash would smell, etc etc. Now I keep the litter locker right next to the box and the process of scooping it takes one minute and no residual smell! I recommend ordering an extra refill when you purchase, I went through my first in 1.5 weeks.",cats
17,Pro,cats
18,"i have a sighthound, when it gets cold i want at least part of him covered so he will be warm when he does his business and during our walks. as a puppy at full speed he ripped the strap off completely just playing in the yard there are no arm holes this is a ""cape"" design with a single velcro strap made with the same material as the coat and was easily ripped apart by a 12 week old pup.",dogs
19,"I decided to get a cheaper option for a returned Flap. Box was a little messed up but the Flap was perfect.3rd new flap in about 9 years, wish they could make the top 2 inches stop from tearing. I guess some things have a certain useful lifespan. Beats having to replace the whole doggie door.",cats
20,Very cute toy...but we have a 60lb. 9 month old puppy who ate the tongue and tail with great relish....so guess this is best suited for an older dog or one who is not so into chewing!!!,dogs
21,This is a really great product. The one thing that would make it better would be either a dome top or higher walls for containing the litter. Make sure you read the other reviews about the type of litter to buy---it's important. This didn't work out for me because,cats
22,My dog would routinely destroy tennis type balls in just a couple hours.This has been around for weeks now and is still in good shape. It's light enough for him to catch without damaging his mouth yet tough enough to stand up to his chewing. He much prefers it to his Kong ball which is too hard for him to catch safely.,dogs
23,"The only advantage to this product is that it is lightweight and easy to carry home from the grocery store. I have been using the traditional Fresh Step Scoopable for years, and have found it superior to all other products for keeping down odor. I was hoping the Natural product would provide the same functionality without the heavy weight and without the environmental impact. Unfortunately, this is not the case.",cats
24,"I really like this product, bought the first one at a pet store for my husky and wanted another one for my malinois, but the pet stores no longer carried it. Was able to get this from amazon, glad I was albe to. This is a very sturdy product and is very stable and hard for the dog to drag around unlike what the pet stores had available.",cats
25,"I purchased this because of the description saying it was INVINCIBLE and ""JW's patented molding process links each ring together with no seams and no glue to produce a strong long lasting toy."" My 50 lb. German Shorthair Pointer is far from a Pit Bull, Doberman, Rottweiler, or any other breed that you would think would rip right through any toy given to them. But yet he had the center black ring ripped off from tugging on it within 2 days after he received it as a ""Christmas gift."" After ripping 1 apart, we started playing tug with the remaining rings. He has successfully ripped through the second ring within another week. The rings have 4 indented ""ribbed"" sections per ring, which give them 4 weak points. This is where each of these rings are breaking up.I will go back to Kong toys, which were long-term toys for my previous Doberman and not mess with the lesser competition.",dogs
26,"I paid for functionality, storage, and appearance; I received none of these. Like the 2011 review, what I received is not what is pictured or described. The stand they sent doesn't match that reviewer's description - no gray or chrome - all black. There is no storage space. The unit is just three planks (only 23"" tall instead of the 27 advertised) made of sturdy wood (or maybe wood-like). These assemble in an H formation. There are also two disks to put top and bottom. The disks are not 14"" in diameter as specified, but 13.75"" and with the beveling there's less than 13"" diameter of usable space. It's wobbles easily on carpet, tile, linoleum and hardwood. I will not risk using it for my Hex5 tank - which had been it's intended purpose. I might consider putting a one-gallon aquarium on it if I didn't have pets, kids, or anyone who might accidentally brush against it and send my betta to an untimely demise. Good points",fish aquatic pets
27,This is my second one and I love it. Keeps the tank clean.The main problem is once you take the cover off to replace the filter I could never get it to fit right again. but still a good buy.,fish aquatic pets
28,"I bought this for my 3 pound Yorkie who quickly (10 minutes) figured out how to unscrew the toy and get all the treats at once. The screw system seems like it should have more resistance, but the dog was ability to spin it open and empty it. Once the treats are gone, the dog loses interest in the toy.",dogs
29,"I've purchased Nutriberries for my pionus parrots for years. The price keeps increasing over time. But, these were purchased at the lowest price on the web at the time. I haven't found a parrot food that is so universally loved by my birds. My only complaint is that they fall apart so easily. I would estimate that only about a quarter of each nugget is actually ingested by my birds. And, that may be an over estimate. Still, no matter what they eat, it's the same story. Most of what they eat ends up on the bottom of the cage.",birds
30,"I recieved this stand and pulled it out of the box and began to set it up. When I was finishd setting it up, the stand looked as though the tank could slide right off of it splattering water all over the place. It was leaning in several directions and lacked braces necessary to keep it from wobbling.",fish aquatic pets
31,"Arrive in time, work perfect, cannot ask for better quality or better services, it is very good quality collar & all the dogs responds great to it, I think it will last forever this is the perfect collar for any dog, these collars are great and they work no pulling or tugging and it doesn't hurt the dogs,",dogs
32,These scissors do not cut. They just chew at the fur. Just filled out the form to return them.,dogs
33,"I opened the box, set the burrow bed on the floor and my min pin immediately disappeared! He is usually quite suspicious of anything new but he knew this was his and jumped right in.",dogs
34,"These steps work perfectly for my Chihuahua/Min pin mix. He is 12 pounds and the stairs support him well. He's a little skiddish so I was worried that these stairs wouldn't be sturdy enough for him, but he bounces up and down them with now fear. He was to the point he could no longer leap onto the bed. These stairs were a lifesaver.",dogs
35,I have owned a whisper filter in the past and find them a superior product. So I was not hesitant to buy this one. The whisper does work better than most standard filter systems that come with aquariums these days. So thats why after 1 month I ditched the Aqueon filter system that came with the tank I purchased and switched to the Whisper filter. The only thing I would say that is negative is the sound... it isn't a whisper at all.. more like a water fall in your house. So if you find the sound of running water irritating this isn't the system for you. I find it soothing so it isn't a problem.,fish aquatic pets
